"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
"quite well","not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well",989910,"5","Neither Agree nor Disagree","Democrat","approve","strongly disapprove","disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","neither agree nor disagree","Strongly Disagree","Strongly agree","45-59",0.2,"$50,000-$79,999","bilateral",0,"dem",1,0,0,4,1,2,1,0,0,3,1,2,3,2,3,1,0,1,3,2,3,1,0,1,3,2,3,1,0,1,1,0,0,0,1,"45-59",3,-3,2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,0,-2,-2
"not too well","not too well","not too well","not too well","not too well","not too well","quite well","not too well","not too well",989911,"4","Disagree","Republican","neither approve nor disapprove","strongly disapprove","disapprove","somewhat likely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Conservative","Democrats","a simple majority of both houses of Congress","Don't know","Don't know","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Refused","Don't know","conservatives","President","Democrat","Don't know","neither agree nor disagree","Neither Agree nor Disagree","Strongly agree","30-44",2.88,"$100,000 or more","unilateral",1,"gop",,0,0,3,1,2,1,0,0,3,1,2,2,2,2,0,0,0,2,2,2,0,0,0,3,2,2,1,0,0,0,0,0,0,1,"30-44",-2,2,-2,2,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,-2.70555555555556,0,0,-2
"not well at all","quite well","not well at all","not well at all","not too well","not well at all","not well at all","not too well","not well at all",989912,"1","Strongly Disagree","Independent","neither approve nor disapprove","approve","strongly disapprove","very unlikely","somewhat unlikely","very unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","subsidies to farmers","a unitary system","conservatives","President","Democrat","is the newest department of the federal government","strongly agree","Agree","Strongly agree","60+",0.32,"$80,000-$99,999","control",,"ind",,1,0,3,4,1,0,0,0,1,2,1,1,3,1,0,1,0,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,"60+",-1,1,-2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1.29444444444444,2,1,-2
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",989913,"3","Neither Agree nor Disagree","Republican","strongly approve","neither approve nor disapprove","disapprove","somewhat likely","somewhat unlikely","very unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Moderate","Democrats","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","Refused","Mitt Romney","the benefit program for senior citizens","Medicare","a unitary system","liberals","President","Democrat","is the newest department of the federal government","neither agree nor disagree","Agree","Agree","18-29",3.23,"$80,000-$99,999","unilateral",1,"gop",1,,0,5,3,2,1,0,0,3,2,1,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,1,"18-29",-2,2,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,-0.705555555555556,0,1,-1
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",989914,"3","Strongly Disagree","Republican","neither approve nor disapprove","disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Moderate","Republicans","a two-thirds majority of one house of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","Refused","education","a federation","socialists","President","Democrat","is headed by the Secretary of the Treasury","agree",,"Disagree","60+",0.08,"$30,000-$49,999","unilateral",1,"gop",,0,0,3,2,2,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,0,0,0,1,"60+",-2,2,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.294444444444444,1,,1
,,,,,,,,,989915,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"not too well","not too well","quite well","not too well","not too well","quite well","not too well","not too well","quite well",989916,"2","Neither Agree nor Disagree","Democrat","disapprove","strongly disapprove","approve","very unlikely","very unlikely","somewhat likely",1,"Black, Non-Hispanic","Some college","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","Don't know","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","agree","Agree","Strongly agree","60+",0.43,"$30,000-$49,999","control",,"dem",0,0,1,2,1,4,0,0,1,1,1,3,2,2,3,0,0,1,2,2,3,0,0,1,2,2,3,0,0,1,0,0,1,0,0,"60+",3,-3,2,-2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,3.29444444444444,1,1,-2
,,,,,,,,,989917,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989918,,,,,,,,,,1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989919,,,"Republican",,,,,,,1,"Hispanic","Some college","Not Very Strong",,"Moderate","Democrats","a two-thirds majority of one house of Congress","four years","suspension of the rules","Joseph Biden","any number of terms","life terms","Antoni Scalia","funded by the personal income tax","subsidies to farmers","a federation","conservatives","Vice President","Democrat","is headed by the Secretary of the Treasury","neither agree nor disagree","Neither Agree nor Disagree",,"30-44",,"$30,000-$49,999",,,"gop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"30-44",-2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,-4.70555555555556,0,0,
"not too well","quite well","quite well","quite well","extremely well","quite well","quite well","quite well","quite well",989920,"5","Disagree","Independent","disapprove","approve","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","disagree","Agree","Disagree","60+",0.22,"$50,000-$79,999","bilateral",0,"ind",0,1,,2,4,3,0,1,1,2,3,3,2,3,3,0,1,1,3,4,3,1,1,1,3,3,3,1,1,1,0,0,0,0,1,"60+",-1,1,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-1,1,1
"quite well","quite well","quite well","quite well","not too well","quite well","quite well","not too well","quite well",989921,"5","Neither Agree nor Disagree","Democrat","approve","disapprove","approve","somewhat likely","very unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly liberal","Democrats","a two-thirds majority of one house of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","neither agree nor disagree","Strongly Disagree","Agree","60+",0.1,"$30,000-$49,999","bilateral",0,"dem",1,0,1,4,2,4,1,0,1,3,1,3,3,3,3,1,1,1,3,2,3,1,0,1,3,2,3,1,0,1,0,0,0,0,1,"60+",2,-2,1,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1.29444444444444,0,-2,-1
"not too well","not too well","quite well","not too well","not too well","not too well","not too well","not too well","Refused",989922,"1","Strongly Disagree","Independent","strongly disapprove","disapprove","approve","very unlikely","very unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Slightly conservative","Republicans","a two-thirds majority of one house of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Medicare","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","strongly disagree","Neither Agree nor Disagree","Agree","60+",0.63,"$50,000-$79,999","control",,"ind",0,0,1,1,2,4,0,0,1,1,1,3,2,2,3,0,0,1,2,2,2,0,0,0,2,2,,0,0,,0,0,0,0,1,"60+",-1,1,-1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,3.29444444444444,-2,0,-1
"not well at all","not well at all","not well at all","not too well","quite well","not too well","not too well","not too well","not too well",989923,"4","Strongly Disagree","Republican","strongly disapprove","disapprove","disapprove","very unlikely","somewhat likely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Very conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","strongly disagree","Agree","Strongly Disagree","45-59",0.12,"$30,000-$49,999","unilateral",1,"gop",0,0,0,1,2,2,0,1,0,1,3,2,1,1,1,0,0,0,2,3,2,0,1,0,2,2,2,0,0,0,0,0,0,0,1,"45-59",-2,2,-3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-2,1,2
"quite well","not too well","not too well","quite well","quite well","not too well","quite well","quite well","not too well",989924,"1","Neither Agree nor Disagree",,"strongly approve","disapprove","strongly disapprove","somewhat likely","very unlikely","very unlikely",2,"White, Non-Hispanic","Some college",,,,"Don't know","Don't know","six years","a filibuster","Joseph Biden","two terms","Don't know","John Roberts","the benefit program for senior citizens","Don't know","Don't know","Don't know","President","Democrat","was originally called the Bureau of the Budget","agree",,"Strongly agree","30-44",0.59,"$50,000-$79,999","control",,,1,0,0,5,2,1,1,0,0,3,1,1,3,2,2,1,0,0,3,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,0,"30-44",,,,,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,-0.705555555555556,1,,-2
"not well at all","not well at all","quite well","not well at all","not well at all","quite well","not well at all","not well at all","quite well",989925,"2","Disagree","Democrat","strongly approve","strongly disapprove","approve","very unlikely","very unlikely","somewhat likely",1,"Hispanic","Some college","Strong",,"Moderate","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Don't know","a federation","conservatives","President","Democrat","Don't know","agree","Neither Agree nor Disagree","Strongly agree","30-44",0.89,"$30,000-$49,999","control",,"dem",1,0,1,5,1,4,0,0,1,1,1,3,1,1,3,0,0,1,1,1,3,0,0,1,1,1,3,0,0,1,0,0,0,1,0,"30-44",3,-3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2.29444444444444,1,0,-2
,,,,,,,,,989926,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"60+",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","quite well","not too well","quite well","quite well","quite well",989927,"6","Disagree","Independent","approve","disapprove","disapprove","somewhat likely","somewhat unlikely","very unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,"Democratic Party","Liberal","Democrats","a two-thirds majority of both houses of Congress","six years","Don't know","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Medicare","Don't know","conservatives","President","Democrat","Don't know","agree","Disagree","Strongly agree","45-59",0.33,"$80,000-$99,999","bilateral",0,"ind",1,0,0,4,2,2,1,0,0,3,2,1,3,2,2,1,0,0,3,3,2,1,1,0,3,3,3,1,1,1,1,0,0,0,1,"45-59",1,-1,2,-2,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0.294444444444444,1,-1,-2
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",989928,"1","Disagree","Independent","neither approve nor disapprove","disapprove","neither approve nor disapprove","somewhat unlikely","somewhat unlikely","somewhat likely",2,"2+ Race, Non-Hispanic","Bachelor's degree or higher",,"Republican Party","Slightly conservative","Don't know","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","Antoni Scalia","funded by the personal income tax","aid to foreign countries","Don't know","conservatives","President","Democrat","is an arm of Congress","don't know","Agree","Neither Agree nor Disagree","60+",0.08,"Under $10,000","control",,"ind",,0,,3,2,3,0,0,1,2,2,3,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,1,0,0,1,"60+",-1,1,-1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,-1.70555555555556,,1,0
,,,,,,,,,989929,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,"agree",,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,1,,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","quite well","not well at all","not well at all",989930,"5","Agree","Independent","strongly disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",1,"White, Non-Hispanic","High school",,"Democratic Party","Slightly liberal","Republicans","Don't know","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","funded by the personal income tax","Don't know","a unitary system","conservatives","President","Democrat","Don't know","strongly disagree","Neither Agree nor Disagree","Strongly agree","60+",0.55,"$10,000-$29,999","bilateral",0,"ind",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,"60+",1,-1,1,-1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.294444444444444,-2,0,-2
"quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well","not too well",989931,"1","Neither Agree nor Disagree","Democrat","approve","disapprove","disapprove","somewhat likely","very unlikely","very unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Slightly liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","neither agree nor disagree","Neither Agree nor Disagree","Strongly agree","60+",0.41,"$50,000-$79,999","control",,"dem",1,0,0,4,2,2,1,0,0,3,1,1,3,3,2,1,1,0,3,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,1,"60+",3,-3,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4.29444444444444,0,0,-2
"quite well","quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well",989932,"2","Strongly Disagree","Republican","neither approve nor disapprove","approve","approve","somewhat likely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","Don't know","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","strongly disagree","Neither Agree nor Disagree","Agree","45-59",0.44,"$50,000-$79,999","control",,"gop",,1,1,3,4,4,1,1,1,3,3,3,3,3,3,1,1,1,2,3,3,0,1,1,2,3,3,0,1,1,1,0,0,0,1,"45-59",-3,3,-2,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,2.29444444444444,-2,0,-1
,,,,,,,,,989933,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,"strongly disagree",,,"30-44",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,-2,,
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",989934,"6","Strongly Disagree","Democrat","neither approve nor disapprove","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","Refused","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","agree","Disagree","Agree","60+",0.72,"$100,000 or more","bilateral",0,"dem",,0,,3,1,3,1,0,0,3,1,2,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"60+",3,-3,3,-3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4.29444444444444,1,-1,-1
,,,,,,,,,989935,,,,,,,,,,2,"Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,989936,,,"Democrat",,,,,,,2,"Black, Non-Hispanic","Some college","Strong",,"Moderate","Republicans","a two-thirds majority of one house of Congress","six years","a filibuster","Joseph Biden","two terms","terms determined by the president","Hillary Clinton","the benefit program for senior citizens","Medicare","a confederation","Don't know","Vice President","Democrat","was originally called the Bureau of the Budget","agree",,,"18-29",,"$10,000-$29,999",,,"dem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"18-29",3,-3,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,-0.705555555555556,1,,
"not too well","not too well","not too well","not well at all","not well at all","not well at all","not too well","not too well","not too well",989937,"2","Strongly Disagree","Republican","disapprove","strongly disapprove","disapprove","very unlikely","very unlikely","very unlikely",2,"White, Non-Hispanic","High school","Not Very Strong",,"Conservative","Democrats","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","Don't know","the benefit program for senior citizens","aid to foreign countries","a unitary system","Don't know","President","Democrat","Don't know","strongly disagree","Agree","Neither Agree nor Disagree","60+",0.4,"$30,000-$49,999","control",,"gop",0,0,0,2,1,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,1,0,0,0,0,"60+",-2,2,-2,2,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,-1.70555555555556,-2,1,0
,,,,,,,,,989938,,,,,,,,,,1,"Black, Non-Hispanic","High school",,,,"Republicans","a simple majority of one house of Congress","eight years","suspension of the rules","Joseph Biden","two terms","life terms","John Roberts","operated by state governments","Medicare","a communist system","liberals","President","Democrat","is headed by the Secretary of the Treasury","neither agree nor disagree",,,"45-59",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,"45-59",,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,-1.70555555555556,0,,
